,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CHST11,743.1352869,0.628914348,2.466139644,1.925339997,0.054186837,0.186161117
NES,146.3054306,0.689438005,2.22943297,2.135697715,0.032704061,0.124456045
AC005753.2,32.06814657,-0.122899869,7.600885736,0.614054685,0.539179192,0.788176994
LINC02320,15.74315051,0.10886272,1.822657493,0.191339243,0.848259817,0.989702716
AL445584.2,14.61897773,-0.256356945,2.359064902,1.125318489,0.260454098,0.534265728
AC092296.1,16.94744769,0.146575128,6.449416312,0.275165484,0.783189104,0.952044517
AL356295.1,16.3922179,-0.129263802,2.174787156,1.051572434,0.29299576,0.573100183
LPP-AS2,21.27142374,0.398411327,1.646091555,1.961780559,0.049788038,0.173490791
PTX3,24.46893499,0.409555126,2.043165816,1.255259666,0.209384512,0.470951441
AC008571.2,15.9950905,-0.053513193,3.229822352,0.599107598,0.549101135,0.796089368
AC007952.4,87.47049358,3.575641497,2.730520609,4.027887963,5.62801E-05,0.000437145
HIPK1-AS1,17.6099496,0.303999963,1.206221753,0.124748264,0.900722847,1
LAMB4,45.52958723,-0.025771632,1.728434141,-0.007242768,0.994221158,1
PRR26,36.28612291,-0.005078634,5.917909113,0.133500415,0.893797636,1
SOWAHB,34.79463333,0.666234706,2.20140396,0.317869165,0.750584183,0.932521768
ATP2B1,913.2155867,0.61275615,0.545907966,3.042951244,0.002342703,0.01301097
HAP1,21.96273839,0.20181173,1.579707658,1.365210744,0.172186823,0.419021631
CDKN3,20.36067159,0.402543625,1.819156365,1.472051248,0.141007039,0.370450683
SECTM1,39.68397097,2.824341694,2.09915506,4.397362124,1.09574E-05,9.68895E-05
LURAP1L-AS1,26.56712007,-0.068309158,1.272128696,1.015981056,0.309638408,0.589394486
PTGER4,206.5542208,-0.057391832,1.847587159,2.411693256,0.015878634,0.068598829
ADA2,182.280624,0.08797895,0.623780625,7.724046266,1.12694E-14,2.17432E-13
Z95115.1,19.59146517,0.331132995,1.820678283,1.489626194,0.136322551,0.361888731
AP000282.1,82.68324388,-1.370079798,6.642093935,-1.03677712,0.299839741,0.579902562
SNAP25-AS1,49.65921718,0.207788466,1.207300823,2.006748028,0.044776499,0.160460211
SLC8A2,23.3133005,0.023578323,4.317726465,-0.327856659,0.743020045,0.927351768
OSBPL3,843.8726714,0.485237646,1.074177524,-0.717226322,0.47323446,0.736228125
SULF2,300.3010861,-1.030267218,2.803327805,-1.010264259,0.3123687,0.592493285
RFTN2,68.50658289,-0.533385167,1.225150506,2.339885134,0.019289672,0.0812609
LINC00672,19.10318753,0.107255634,1.232613522,0.183993229,0.854018766,0.99201915
RNF186,490.741388,0.132901882,2.702428952,1.752080642,0.079759942,0.249333818
NXNL2,86.84328692,-0.093360172,1.486182696,0.267466914,0.789109686,0.956109161
