,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LBX2-AS1,23.64602299,0.34747576,3.036397154,0.872945046,0.382693032,0.661876682
HOXD1,68.58886304,0.330614255,1.547964139,3.042425071,0.002346802,0.013026238
TMEM97,150.3841003,0.598846483,2.238224187,-1.311242065,0.189775995,0.444907177
CHST14,33.25708989,0.687200289,2.584103258,2.112124461,0.034675775,0.130314455
TNFSF14,35.83994054,-0.329095648,1.175915044,1.79896471,0.072024263,0.231143735
MPST,893.164353,3.710885494,3.245318114,5.638978534,1.71062E-08,2.14874E-07
ZNF609,783.2203866,-1.368921581,1.089673436,-10.89389963,1.23247E-27,4.30785E-26
TNFRSF10A,77.13314916,-0.021591604,0.933570552,1.178005305,0.238794491,0.508307692
AC024560.4,23.97799155,0.006681468,1.578059873,0.139841074,0.88878556,1
OBSL1,299.1089788,0.735995452,1.745538399,0.669935355,0.502899001,0.759346793
SGCZ,37.38720552,0.172155617,1.637524306,0.817243667,0.413789193,0.689434256
ABCG2,61.6589527,0.076831223,41.83036204,0.04483018,0.964242669,1
FHL2,314.0757643,0.542820667,1.379954148,18.17597029,8.00009E-74,9.29842E-72
THOP1,81.31034654,0.19461032,0.883718841,0.353410252,0.723780901,0.914256644
KLHDC7A,82.59292,0.435904021,1.664533284,1.283588472,0.199285985,0.457816352
SLC22A18AS,183.0886165,0.1167389,2.064844444,1.974909122,0.048278462,0.169854968
CKMT1A,30.08414844,0.431484316,1.684618425,2.148020027,0.031712164,0.12130343
AP002336.2,177.9941803,-0.088222172,0.989414571,0.374373113,0.708126744,0.903252505
ARRDC5,13.74666729,-0.049861412,2.90477093,0.741777454,0.458222183,0.722776313
NCKAP5-AS2,14.36640004,0.061713833,1.69851502,0.707314476,0.479371071,0.740544485
BOK-AS1,16.06197269,-0.234635131,1.530193714,1.187339139,0.235093876,0.504549637
DPYSL3,87.29746011,-0.443707618,2.980233781,0.387808738,0.698157579,0.896105131
ACHE,17.49809197,0.132019967,1.772779334,0.061926606,0.95062128,1
AC006160.1,37.03493738,-0.208096277,1.50673956,1.397450691,0.162278085,0.40504442
CALHM6,153.6599,1.010118193,7.126342014,2.407563291,0.016059378,0.069315956
HECA,212.7326862,0.412142597,0.421830496,8.899329684,5.6185E-19,1.38269E-17
AC124242.1,26.62318243,0.385519968,1.448230453,1.677318461,0.093480225,0.280501271
AC005280.1,20.63628386,-0.407172992,3.293663528,1.02852418,0.303703322,0.58397966
AC007220.1,37.16429659,-1.676559767,1.518370972,1.265216581,0.2057937,0.466692454
AL157786.1,25.32483108,0.006297397,1.905752426,0.834259153,0.404134964,0.681112858
IGDCC3,13.49259041,-0.200335173,2.72803395,0.595470859,0.551528773,0.797291252
PI16,56.51532223,0.212522282,5.651000738,0.165418933,0.868614253,0.999006975
SAPCD1-AS1,27.52069257,0.252713929,1.209975528,2.458065467,0.013968771,0.061928645
NAT1,77.75299944,0.397236625,0.895261015,4.366800382,1.2608E-05,0.000110403
TNK1,27.29299233,0.366003903,1.216094088,2.363043997,0.018125518,0.076883101
NNMT,691.6771433,0.360649983,1.885946498,1.830016608,0.067247455,0.219142245
DUSP16,419.7409935,-0.21413487,0.455679441,-3.484211066,0.00049359,0.003202195
AL358852.1,13.91655102,0.53026523,1.969426663,2.252295949,0.024303576,0.098140058
MALAT1,276089.2471,-0.27076571,0.627702332,0.282154445,0.777825087,0.948032674
ARL4C,276.8722633,3.125870949,4.118631701,4.134608982,3.55559E-05,0.000288
U73166.1,19.89212529,0.105284241,1.391305152,9.729705462,2.25244E-22,6.3536E-21
GBGT1,23.86844294,0.347663845,1.109990198,2.155699351,0.031107149,0.119605686
AL390755.1,23.00795369,0.161372733,1.85446612,0.831847297,0.405495143,0.682570519
SHISA9,201.950882,-0.101680238,1.237849081,-1.643452022,0.100289444,0.293891941
SCIMP,70.67482381,-0.660740586,2.67208159,1.853928762,0.063749352,0.210667242
ANO3,86.1091869,-0.153219583,2.744397634,0.10433141,0.916906352,1
ERICH6,17.51698571,-0.003076312,1.710030904,0.425827526,0.670233528,0.878378324
UBE2QL1,52.59092785,-0.005014016,10.22776644,-0.228448314,0.819297733,0.974450158
GATA5,28.29243082,-0.234060025,2.427489009,-0.143926878,0.885558211,1
TOMM34,130.0991909,0.068891543,31.66595927,-0.007939656,0.993665138,1
AC002310.1,39.772985,0.27264757,1.672469096,1.506855314,0.131847748,0.353511734
HOXA-AS3,31.06085729,0.315233197,1.146752077,2.694369491,0.007052194,0.034290582
PLAT,1124.246387,1.808821987,3.026626506,3.993318645,6.51549E-05,0.000500836
ITGB3,114.5289468,-0.201914792,1.442198055,-1.591452954,0.111507675,0.317039358
TENM3-AS1,26.11665644,-0.170901158,2.581111219,0.579534523,0.562228559,0.803886011
SRP14,7524.821996,8.142491768,3.728920486,7.660343885,1.85436E-14,3.5284E-13
LINC02798,102.1725377,-0.436263999,1.473265,-1.062524337,0.287997716,0.568131094
DOCK8,749.8024727,-1.182802705,1.614031436,-16.90638096,4.03754E-64,3.97451E-62
IER2,2757.937961,4.475177384,1.775412649,8.18301583,2.76827E-16,5.89525E-15
DUSP5,317.4174957,2.277183883,2.120522754,2.851777077,0.004347558,0.02239236
HSPA5,1802.011989,5.220158168,1.554458559,12.61502362,1.74505E-36,8.86028E-35
KIF4A,17.99759748,-0.175082255,1.876745101,0.827514443,0.407945539,0.684783473
HAGLR,86.49357883,0.01251595,43.83956636,0.006384732,0.994905756,1
FCMR,87.61786521,0.475132532,1.798361667,2.32523928,0.020059169,0.084098568
TRAM1L1,33.72060391,0.76171922,2.041585234,2.746013018,0.006032437,0.029874189
LGALS9,127.2807654,1.127522142,9.852848596,2.757146279,0.005830826,0.028994835
PDZD7,16.22627268,0.056340943,2.053233922,0.814713436,0.41523636,0.691109482
SATB2-AS1,24.42685057,0.440643961,1.882218326,1.162235724,0.245139727,0.515895059
AC093655.1,21.54926601,0.031847538,1.600578547,1.498166076,0.134090107,0.357578744
KCNH6,66.11196798,-0.13829081,3.490746549,0.53631032,0.591744099,0.824102111
CASC19,59.38717982,0.169151365,1.24366946,0.153832304,0.877741962,1
SSTR1,16.96524474,0.460776176,2.180700975,1.332585689,0.182667804,0.435110199
P2RY10,62.30070969,0.763655879,3.192659276,2.21695228,0.026626353,0.105531809
AC006547.1,17.38808447,-0.02313134,1.815062434,1.012987674,0.311066049,0.59125829
GAS6-DT,14.37579291,0.447030273,1.953705473,0.99968374,0.317463583,0.598158435
ADGRA2,39.81905335,0.149677101,1.308166534,1.801808335,0.071575566,0.230086466
DIO3OS,19.43399553,-0.093392962,1.653268617,0.687363405,0.491853753,0.750183897
NUDT18,51.12405549,0.584043129,2.007174898,3.207186892,0.001340399,0.008016632
CLEC9A,17.89542613,0.086685693,1.985407544,-0.370289993,0.711166429,0.905877275
AL645568.1,195.5595673,-0.005816437,1.185089268,-1.551128247,0.120870953,0.334301056
ARHGEF25,17.57080899,0.109114216,1.854207765,0.648807824,0.5164626,0.770019575
KLRC3,25.83933538,0.483171679,3.110028912,1.445379094,0.148351432,0.38194456
IL12RB1,45.53589834,0.138952517,4.770806889,0.109993461,0.91241456,1
EML6,175.7869149,0.416530324,1.211220511,-4.883807268,1.04057E-06,1.05334E-05
CD74,10719.03895,6.024043218,2.008468027,9.192018018,3.85539E-20,9.89175E-19
SLC2A1-AS1,36.30667188,0.197539059,1.226274139,0.188830332,0.850225798,0.990116528
NOCT,141.6483958,-1.550493018,1433.965143,3.903624304,9.47628E-05,0.000701079
LINC00378,17.91379514,-0.244030902,2.919622884,0.767136881,0.443000136,0.712033041
ANKRD36,304.523782,-0.316308394,0.857201535,-3.506368188,0.000454266,0.002965025
HSP90B1,2931.946199,3.620489671,1.90333654,6.41318475,1.42511E-10,2.10859E-09
AC013652.1,232.5768079,-1.06314871,4.097427194,-1.420947839,0.155331924,0.392744921
AC020687.1,19.80577058,-0.07287679,1.568045628,1.352000171,0.176375261,0.425585828
AC009237.14,16.81189643,0.852702979,2.902697987,2.457771272,0.013980218,0.061950926
ID3,1467.226218,4.852702558,1.801648281,9.760962212,1.65577E-22,4.75392E-21
TRIM10,14.66873871,-0.087012624,7.039496073,0.778710422,0.436150316,0.707106451
PTTG1,57.95918252,6.045211761,3.049806417,-0.785598737,0.432102605,0.70374106
AL353572.4,36.01391072,0.125658497,1.411708016,0.796752369,0.425594863,0.698493137
NKX3-1,13.18074824,0.529930668,2.322854938,1.309291757,0.190435541,0.44579754
AC005076.1,25.22280697,5.477197689,1.856903473,3.547003953,0.000389639,0.002564014
ITGA1,501.5904594,-0.679027948,1.553813852,-3.184048551,0.001452307,0.008600614
RAPGEF4,297.2916421,-0.012941224,46.80587244,-0.032898613,0.973755439,1
AC080132.1,18.53011042,0.039362098,2.013781023,1.373783167,0.169509009,0.415137715
AC036108.1,38.45116839,0.200100547,1.225080884,0.894956139,0.370810535,0.652656309
AC104170.1,33.78213025,-0.134499207,1.394551703,-0.400427154,0.688841928,0.890606598
PRDM11,80.87659258,-0.696784466,1.292248325,-0.9385356,0.347969231,0.631009678
AC245123.1,17.15017946,-0.090577422,1.608176569,0.781219081,0.434673653,0.706249034
SSX2IP,226.5563063,0.731131815,0.487527705,6.040569137,1.53572E-09,2.1225E-08
AC132803.1,24.98107038,-0.324765892,2.415892228,0.878500973,0.37967191,0.660182934
RAD51B,1225.754581,-1.333667091,0.72852412,-4.014954461,5.94573E-05,0.000459235
AC010884.1,19.15886254,0.029421538,1.453177383,1.183081433,0.236776876,0.506471512
AC024588.1,26.68500298,0.295972011,1.694052623,0.450834343,0.652108947,0.865679787
CASP1,150.9254084,3.958069238,2.906076718,5.723133295,1.04577E-08,1.34874E-07
SNX20,31.73526129,0.442512982,2.484477923,1.498740518,0.133940961,0.357534159
GPRC5B,264.030974,0.378171813,0.917204973,-0.090334857,0.928021121,1
AK1,437.5801049,4.5278928,1.918710823,7.958082406,1.74726E-15,3.53371E-14
SAMD9L,149.1929693,0.621276004,1.370971814,1.200263039,0.2300372,0.498465603
ING2,234.9670162,0.217918978,27.75032683,0.115161064,0.90831746,1
AC090241.2,17.63000528,-0.031787956,1.702958999,0.768201566,0.442367443,0.711545991
MCMDC2,42.27110035,0.03341323,1.510360579,0.567875684,0.570119384,0.809791925
TNF,104.9034174,0.521680591,2.498781958,2.244628469,0.024791994,0.099861529
CABLES2,19.81839855,-0.008373792,38.55256476,-0.027697258,0.977903611,1
CPNE4,70.71385526,-0.164496194,1.881821818,0.329888065,0.741484542,0.926009865
MPP6,266.0263327,0.300680036,1.129662445,-0.796239997,0.425892554,0.698739026
LINC01182,192.2871309,-0.175900713,1.88262984,-1.032190617,0.30198283,0.5824004
ATP6V0E2,483.8009875,3.282838526,2.358216256,4.752643321,2.00774E-06,1.97842E-05
UBA52,8507.004401,9.218056996,4.667564999,9.457255356,3.16132E-21,8.47146E-20
ETV4,25.91346636,0.331471456,1.804029358,0.844847124,0.3981962,0.674903066
LPAR6,330.1691956,1.06561503,5.580180636,1.651125048,0.098713044,0.290419254
RASGRP3,213.3133173,-0.003039645,33.02610651,0.042882299,0.965795359,1
SYNPO,162.8021466,-0.024162273,1.005160718,0.800383662,0.423488544,0.696571864
CA1,110.6905074,0.41707396,1.840661365,1.168842918,0.242466925,0.512955796
AJAP1,127.3317608,0.464016341,1.385447008,-0.941650409,0.346371653,0.629618364
AC097534.1,15.47269004,0.03374595,1.718561529,1.051667818,0.292951981,0.573100183
NMB,151.9034076,6.601262685,2.920230946,-0.696498252,0.486116852,0.745941985
STAB1,100.4732973,0.248692259,1.588313945,1.195215623,0.232002796,0.500860408
LUZP2,23.90407983,-0.283466096,2.979315038,0.898817208,0.368750033,0.651205644
C19orf44,50.72828833,0.015481925,1.017037472,-0.463737613,0.642835745,0.858435262
ITGB1,1603.105427,1.641371166,1.272182767,4.363585346,1.27948E-05,0.000111905
FIGNL2,63.6272906,0.019990451,1.611589869,0.224703956,0.822209587,0.976077566
AC078980.1,135.5567039,0.111910768,1.655236235,2.635318605,0.008405834,0.039878177
ZNF628,36.82847998,1.945857172,2.068714986,4.611695385,3.99398E-06,3.78486E-05
AC010336.2,13.27706094,0.163630236,2.700737295,0.331417611,0.740329064,0.925123638
ZNF774,18.77738806,0.38159615,1.011056983,0.709533191,0.477993662,0.739979149
PLOD1,151.9507009,0.138011834,1.012850566,1.968767868,0.048979754,0.171509141
FAM169B,18.76698736,-0.037340139,1.823646024,0.915157853,0.360108767,0.644640801
TBC1D10C,119.8354227,0.496366864,2.05558102,-0.70917869,0.478213596,0.739979149
AL354822.1,14.02067798,-0.385785943,1.97398218,1.02376401,0.305946753,0.585841272
NUDT1,115.6047934,0.146060913,75.09182417,0.23211386,0.81644958,0.972297157
MEI4,96.86608269,0.020756263,1.404105662,10.76200765,5.20242E-27,1.75482E-25
AC137810.1,20.5018925,-1.191792341,5.34137454,0,1,1
AC015987.1,33.12078793,-0.086366588,1.280559848,1.140907772,0.253908305,0.526198371
PCDHB16,20.06522622,0.182012942,2.002073565,0.815896136,0.414559542,0.690174581
SPEGNB,31.49328173,0.536004111,2.131320534,2.119354881,0.034060487,0.128402312
LMCD1,303.5792705,0.17621014,1.174446995,1.046295519,0.295424614,0.575749747
GABARAP,4858.088114,8.508256484,3.192562074,10.84864963,2.02393E-27,6.94836E-26
AC026992.2,85.30790538,0.065412771,2.121394626,-3.838346665,0.000123866,0.000892405
B4GALT4-AS1,23.63038846,-0.137320506,1.903198013,1.284009958,0.199138471,0.457620017
DM1-AS,30.10578991,0.197907366,1.468644176,1.558358006,0.119148405,0.331437332
ATF3,1491.615671,3.004645713,1.740628461,5.0221324,5.11009E-07,5.34096E-06
EPHB3,20.63350796,0.230952904,1.857351869,0.716694323,0.473562729,0.736228125
SPRYD4,216.0116085,0.438620079,1.920381779,1.291299234,0.196599936,0.453406546
TENM1,163.3670169,-1.946485083,2.82279879,-1.91363849,0.055666363,0.190633088
SLC22A3,109.7365165,-1.713001137,5.059299863,-0.498928632,0.617829663,0.84231243
CSF1R,118.7224397,1.701483223,4.499833535,2.587978515,0.0096541,0.044840204
PNMA2,16.38369232,-0.026296851,3.033934292,0.663034827,0.507308249,0.763256812
GPR132,200.228819,-0.638814751,1.907254843,1.093883697,0.27400599,0.551384185
AC012459.1,41.66193433,0.09556372,1.514809022,0.368995823,0.712130839,0.906681563
BTG2,1639.382246,2.641260285,0.288190142,53.34862551,0,0
AC099489.1,115.2582353,-0.030524919,1.226878513,0.696099818,0.48636632,0.745942113
CEACAM21,34.85992099,0.423195851,1.982173554,2.121916637,0.033844739,0.127738731
VSIR,365.1515156,1.94278725,13.70653213,7.393039844,1.43509E-13,2.62204E-12
BEST1,56.86164021,1.928608388,1.99738319,2.106964179,0.035120685,0.131576406
AC007130.1,24.83684169,0.008947374,1.990506045,0.744211736,0.456748389,0.722099592
LINC00683,27.03249136,-0.359446398,1.229322371,1.234725514,0.216932677,0.479983676
AP000812.1,14.32314597,0.04599568,1.461348078,1.302785507,0.192648,0.448798661
NT5DC2,110.5013776,2.870707997,1.83095973,3.984418289,6.76456E-05,0.000517508
DCC,181.6337342,-1.353268577,6.895650167,-0.506017939,0.612844056,0.83835885
RNF150,618.9570369,0.020118899,0.958003254,-1.332986563,0.182536214,0.434904137
AQP11,87.9731075,0.118185739,1.519000917,1.89500924,0.058091178,0.197056535
NUAK2,290.1089933,0.009620378,0.816018481,1.142804292,0.253119857,0.525624471
OCEL1,353.9519605,3.99612055,2.749075626,5.173481384,2.29772E-07,2.51888E-06
RASL11A,136.6563377,4.20569189,2.604510386,4.556936042,5.19052E-06,4.86618E-05
TRIM61,13.38228662,0.276954859,1.817865603,1.233507957,0.21738631,0.480441175
KCNMB2,360.5506057,-2.274799448,2.472557592,-1.512224647,0.130476723,0.351104308
STARD4,83.48028045,0.365618311,1.246213621,2.728439945,0.006363468,0.031320598
AC097522.2,13.55053002,-0.281560499,4.054712288,0.692042437,0.488910679,0.747586197
AL606760.1,17.22143616,0.403517127,1.314626224,2.819029733,0.004816906,0.024547643
SLC7A2,132.8254375,0.175449932,1.434591188,0.616024134,0.537878592,0.787631265
MYO15A,16.78751194,-0.035236575,1.826209786,0.394461365,0.693240446,0.893451286
AP000919.2,43.10521843,0.160689829,1.094747142,1.610830872,0.10721659,0.308659638
SUV39H1,15.96427895,0.262030732,1.423878441,1.791462676,0.073219079,0.23403028
SLC35G2,65.46722505,-0.229521542,1.070352008,0.2385501,0.811454463,0.970024932
C1orf210,148.3610511,4.522097965,2.848272654,-1.10561956,0.26889122,0.544842176
AC004596.1,17.92912566,0.163774185,0.874916909,2.175276794,0.02960938,0.114807754
CYTIP,489.5479882,-0.101423611,1.600317119,4.077785721,4.54666E-05,0.000359492
RNASET2,566.917949,2.393938993,3.605402597,2.272707386,0.023043819,0.094009187
AC105094.2,77.01420802,-0.249839094,2.064409186,-0.402051338,0.687646245,0.889996148
ITGB2,429.5948178,5.016650775,1.669497621,11.0640988,1.87336E-28,6.74341E-27
BIN2,209.2603063,0.294187845,1.331092991,3.565895075,0.000362616,0.002406709
AC091212.1,14.61475072,-0.064537968,1.561514534,0.851675863,0.394394021,0.672080832
CEMIP2,1065.218997,-0.384963852,0.198317344,-5.766562354,8.09048E-09,1.04904E-07
ITGA4,258.3898632,0.729190495,2.790798482,2.53724884,0.011172751,0.051033866
DNPH1,2161.222745,6.993190431,3.830774749,6.495552788,8.27291E-11,1.24896E-09
BOP1,86.76505743,0.094546614,35.78108254,0.043456973,0.965337262,1
JPH4,19.2678492,0.226637222,1.477372785,1.42699438,0.153581515,0.390329751
CHCHD2,5495.234879,7.293353375,1.765899266,15.55852586,1.3927E-54,1.0923E-52
NRIP3,31.1269881,-0.056867356,1.304056757,1.863122817,0.062444989,0.20744036
MAFG-DT,18.7083487,0.142351388,1.616602769,1.361935761,0.173218159,0.42058264
AL391422.4,16.91024426,0.354386009,1.898940127,1.194200264,0.23239964,0.501220507
SLC15A3,59.36337844,1.934511726,2.978440033,-0.960538167,0.336784432,0.618613749
ETV5,104.5423708,-0.124625299,3.686045348,0.096775851,0.922904402,1
ZSCAN2,75.84752084,-0.125193008,1.537343766,0.571986871,0.567330869,0.807590511
CDH20,43.92872571,-0.248436578,7.432132688,-0.011465268,0.99085224,1
GCSH,1944.646004,4.099014507,1.953033237,8.769928246,1.7878E-18,4.31173E-17
AL590550.1,14.3108833,0.477729566,1.714999314,0.756440414,0.449385185,0.717157796
AC127526.2,158.4635161,-0.753756354,1.476568317,-3.844421366,0.000120837,0.000873196
CCDC113,32.38043817,-0.008595802,16.73346846,-0.026115992,0.979164822,1
AP002813.1,27.69088764,0.522665907,1.283242994,2.683908658,0.007276698,0.035187123
ZBTB42,25.14273408,0.337483965,1.84372875,1.522339762,0.12792397,0.347069119
PPP1R16B,598.3850023,-1.400178173,2.686978468,-2.455781473,0.014057861,0.062209261
HIST1H3J,19.96502679,0.810091579,3.620034289,1.607971191,0.107841488,0.309847358
TXK,195.3679395,-0.016136903,42.0792662,0.050898108,0.959406713,1
PIK3AP1,193.0488761,0.619033579,1.838567537,0.663805991,0.506814491,0.762870868
LRRC56,13.40439972,0.108487975,1.877871657,0.848169352,0.396343663,0.673333294
ZNF215,25.49476259,0.027701474,1.587263798,-0.045621149,0.963612212,1
MAFF,528.7132562,2.398046173,5.50852793,4.420685589,9.83882E-06,8.76409E-05
AC093817.2,24.63812138,-0.511055853,3.123359956,0.216671669,0.828464228,0.980068522
AC009299.3,16.44500501,0.141174962,1.286551552,1.450221355,0.146996802,0.379932788
AC104031.1,16.12973635,0.871772055,3.237462277,2.000338916,0.04546368,0.162319806
EHF,240.9160977,0.742844602,2.027007469,0.644752215,0.519087773,0.771138867
AC243829.4,18.04720959,0.664559046,2.75450532,1.559316802,0.118921417,0.3309968
DEPTOR,772.8409567,-1.353689064,2.508705422,-1.178528057,0.238586154,0.508228846
MAP3K20-AS1,18.22062162,-0.170047219,2.308265334,0.776301976,0.437570707,0.70808597
A2M,1000.852126,2.19526288,1.206370601,5.167132302,2.37713E-07,2.60297E-06
AC139149.1,25.85128794,0.202435979,1.549238366,13.72762054,6.93747E-43,4.29011E-41
CD274,22.9320493,0.529256447,1.657347214,1.935084848,0.052979884,0.183057645
AC026765.3,19.52749799,0.084450567,2.206103123,0.568646828,0.569595839,0.809601747
AL139353.2,13.32817471,0.006713522,1.277885239,1.045492388,0.295795457,0.576356044
TNFAIP6,34.80226133,0.169740127,2.86752407,0.905270206,0.365322256,0.647485542
TMEM130,21.48678103,0.18424553,1.517641894,0.874937641,0.381607837,0.661165733
ATG2A,130.0840144,0.676967201,1.208899124,2.467808448,0.013594304,0.06043514
AL162411.1,96.1332652,-0.139528667,1.514692028,0.529127618,0.596716924,0.82768198
RAPGEF5,356.6093655,0.120798076,0.406616626,-0.87130397,0.383588203,0.662800306
AP002762.2,60.1831247,0.565749427,2.062648077,1.862772235,0.062494318,0.207521645
SUCNR1,301.1740137,1.055566913,9.25471298,3.373237477,0.000742899,0.004690276
SHCBP1,39.67476473,0.094876527,1.506758204,0.301593762,0.762961764,0.93997827
TNNT2,106.7467959,-0.324990595,4.360875006,0.084536308,0.932630036,1
A1BG-AS1,22.78172835,0.244585541,1.536749409,1.070769766,0.284272964,0.563580207
MARVELD1,34.00095167,0.311948239,1.66015731,1.86331671,0.06241772,0.20744036
LINC02576,17.41434835,-0.067247412,2.662046841,0.69884275,0.484650309,0.744849694
RNF139-AS1,29.3571154,0.442560459,1.441006453,1.647711991,0.099411786,0.291851948
PDE4B,390.1156183,0.235396016,1.936860525,4.087682431,4.35704E-05,0.000345391
EMCN,2040.134706,0.340966793,1.504887539,23.08293367,6.8714E-118,1.6997E-115
KCNQ5,90.92862965,-0.114207399,9.456812862,0.128182918,0.898004218,1
CD160,32.11012262,-0.003110208,1.226518179,2.329087837,0.019854413,0.083385077
ECHS1,4803.603662,5.338813046,2.663593311,11.02327906,2.95109E-28,1.05441E-26
DBH-AS1,12.9208155,-0.208368303,2.219235979,1.005730008,0.314545464,0.595208078
AC009899.1,13.07958429,0.120911874,1.770466908,0.523135478,0.600879978,0.830233336
RGS18,51.67441109,0.555937909,8.367945475,0.435822078,0.662965824,0.87360078
ROR1,242.4817886,-0.121764891,42.32226697,0.050448897,0.959764672,1
GPRC6A,19.65468841,0.00589628,3.478903016,-0.003777468,0.996986024,1
AL109824.1,70.26579578,-0.383547381,1.194044745,-0.143118219,0.886196816,1
AL353743.2,22.71312205,0.052647004,1.211886463,0.344625196,0.730376161,0.917572646
WDR49,37.5204753,-0.275744831,1.826141789,-0.108823168,0.913342747,1
BCAS1,103.009743,0.540530192,1.71518871,1.442204331,0.149244739,0.383585953
NPIPB4,100.2099314,-1.743952354,2.246990613,-2.180258186,0.029238329,0.113597325
EDF1,4072.832372,5.290604174,1.904532205,10.28067429,8.61229E-25,2.73299E-23
SNTB1,530.4578625,-0.42406197,0.192267203,-3.987737669,6.67064E-05,0.000511133
TMIGD3,18.94664726,0.02534491,1.861424753,0.939550583,0.347448134,0.630636341
AC111006.1,14.74938471,-0.137819286,2.904563855,0.696801853,0.485926806,0.745860923
NFKBID,145.577446,0.395778994,1.327266295,2.678184399,0.007402245,0.035776283
EMP1,715.1835319,1.283070166,4.111101982,3.513754303,0.000441821,0.002889661
ZGLP1,18.67547807,0.110462772,1.49899077,0.656982378,0.511192247,0.765875386
AL117381.1,71.50857736,-0.193313508,8.313062146,0.072397485,0.942285586,1
AR,192.6056415,-0.853444548,4.021637101,0.21393839,0.830595102,0.981008379
BTN3A1,119.5914359,2.029728772,1.264920862,4.291744115,1.77275E-05,0.000149752
SPRY1,346.3420442,2.157942824,2.523996722,3.335085869,0.000852731,0.00533482
AC103563.7,13.53357659,0.298539776,1.71605677,1.093334963,0.274246757,0.551567092
AC021851.1,31.92333262,-0.162011311,1.53773364,-0.317657295,0.750744908,0.932521768
LTB4R,36.30972446,0.30189627,1.218210205,2.003372254,0.045137347,0.161513349
LAMC3,30.28359053,0.046435497,1.702573996,-0.27555193,0.782892235,0.951885395
ADORA2A,34.17170879,0.169751531,1.559859632,2.185265965,0.028869351,0.112505724
FLT3LG,85.77348886,0.489712996,1.666203416,2.968972795,0.00298797,0.016109184
SOGA3,14.12296327,-0.053366274,1.367382032,0.610117693,0.541783847,0.790231142
MACROD1,905.5877932,0.813714694,1.519048165,30.5073531,2.0818E-204,8.7318E-202
SLC43A2,702.1102753,-0.076815064,0.956170938,0.137591544,0.890563239,1
AL137003.2,14.88379204,0.1410545,1.993677481,0.99821117,0.318176971,0.598800866
KIF22,429.9386297,2.380829931,1.616336774,5.48141311,4.21942E-08,5.0754E-07
SLC39A8,177.0015544,0.279901284,1.319865072,1.030953072,0.302562827,0.58294859
ZFY,103.1376911,-0.60305872,2.800686552,0.010462054,0.991652641,1
PRMT8,23.84889613,-0.095244369,1.299996662,0.6888353,0.490926918,0.749586294
KRT5,16.47155917,0.075531231,536.4897349,1.054364746,0.291715956,0.572104865
BTK,56.83982095,0.028341909,0.80941697,4.655566448,3.23091E-06,3.10155E-05
LINC00839,51.49969118,-0.135958413,2.19778647,-0.017191972,0.986283467,1
TIGD5,38.73839583,0.426558562,1.468958963,0.90675943,0.364534028,0.647277704
AL627171.2,145.064306,2.159900963,2.664229024,4.065250886,4.79808E-05,0.000376931
P2RY8,279.7883071,0.027827349,4.286589312,1.226027711,0.220188247,0.484745783
ELK3,247.786454,0.465654292,0.303435968,13.46474287,2.52195E-41,1.48349E-39
LINC02356,16.24780896,-0.000584314,2.006668089,0.726142831,0.467751215,0.731344565
AL713852.1,29.31397283,-0.273865116,1.460328831,1.73120669,0.083414907,0.25808326
FOXN3,1320.246838,-0.237180745,1.426338885,-1.958023077,0.050227305,0.174672967
ARF4-AS1,48.7503059,0.390878046,1.336215262,3.409328374,0.00065123,0.004149551
AL645933.3,13.70319113,0.130284821,1.908185322,0.818793948,0.412903984,0.688792104
GRM7-AS3,16.45176286,-0.122604032,2.70879283,1.027449671,0.304208773,0.584485567
AC023282.1,88.08656327,-1.633558689,4.721562948,-1.057381121,0.290337684,0.570044405
AC093010.2,33.3353804,0.643415156,2.187715085,0.249874591,0.802684333,0.964320767
FLNA,652.521479,1.853013107,1.463522686,4.991031972,6.00576E-07,6.24327E-06
MYO5A,444.4040504,-0.178372628,0.685919732,-1.274842888,0.202364857,0.462274619
CALCA,92.87469345,5.917102087,2.967060685,0.310455312,0.756214738,0.93567927
PRMT5,142.2291791,0.093279937,35.7174488,0.051813465,0.958677326,1
AC012184.1,15.61174714,0.042979017,1.872342793,0.684489299,0.493666244,0.751346704
SSC5D,20.79266382,0.053834366,1.237063437,0.529301122,0.596596577,0.82763405
SEMA7A,18.41322923,0.192432951,2.186280204,0.603951057,0.545876182,0.793150137
H1FX,592.5320347,4.916240178,3.202846949,3.406093603,0.000658996,0.004196259
AC093249.6,40.69051334,0.751884066,2.01037267,4.321454311,1.55004E-05,0.000133155
CCDC189,35.2251337,0.351088874,1.161977547,2.39967548,0.016409612,0.070576697
MYH3,20.55143554,-0.09517324,1.918938018,0.614935614,0.538597242,0.787874294
PTGDS,813.5518182,2.804488352,6.178820227,3.19174337,0.001414169,0.008390215
JUND,2951.917046,3.850399937,1.152102687,10.53139826,6.1908E-26,2.04529E-24
AC114812.2,21.62047871,-0.319559132,3.584397601,0.121373199,0.903395444,1
PAK3,62.07954977,0.062174209,1.663703913,-1.879468271,0.060180582,0.201794256
AC104794.5,45.77989319,0.534188869,1.425594685,2.618136306,0.008841148,0.041625454
LRRC75B,102.7675209,-0.270934793,1.455467434,0.189949199,0.849348939,0.989702716
AC093849.4,19.68569798,-0.257044401,2.125267248,0.564391244,0.572487896,0.810976199
PCGF1,69.88947465,0.16141787,26.20159013,0.133147952,0.894076373,1
